250
(-0.111999, -0.974390, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.103999, -0.948350, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.095999, -0.913576, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.087999, -0.870389, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.079999, -0.819187, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.071999, -0.760441, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.063999, -0.694693, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.055999, -0.622547, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.047999, -0.544667, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.039999, -0.461773, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.031999, -0.374625, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.023999, -0.284028, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.015999, -0.190815, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(-0.007999, -0.095845, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.000001, 0.000007, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.008001, 0.095860, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.016001, 0.190830, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.024001, 0.284042, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.032001, 0.374639, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.040001, 0.461786, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.048001, 0.544680, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
